,entry,category,confidence
1317,Mac and Cheese ,food,100.00%
1318,Transportation to school for my son,transportation,100.00%
1319,Buying junk foods,food,100.00%
1320,Perfume ,personal,99.99%
1321,Netflix re-sub annual ,saving,100.00%
1322,Cooking stick $1,miscellaneous,100.00%
1323,History books,personal,99.99%
1324,Winter coats for women,personal,99.99%
1325,Fumigation service,housing,99.99%
1326,parking fees tues-fri,transportation,100.00%
1327,home improvements 30,housing,100.00%
1328,electricity bill clearance,utilities,100.00%
1329,Cinema,recreation,100.00%
1330,new laptop for me for 5000 EB,personal,99.99%
1331,Photocopying paper,saving,72.73%
1332,Repair laptop,miscellaneous,99.99%
1333,starbucks  5,food,99.99%
1334,Wristwatch,personal,99.99%
1335,Hot water bottle 2000,miscellaneous,100.00%
1336,Chiffon hijab scarf AliExpress #1400,personal,99.99%
1337,Beach Outfit,personal,99.99%
1338,Fruits ,food,100.00%
1339,Coffeeshop,food,100.00%
1340,Alcohol,food,99.99%
1341,radiator fan replacement cost,housing,99.99%
1342,Flowers for mom’s birthday,recreation,99.99%
1343,Bulbs,housing,99.99%
1344,School Shoes,personal,99.99%
1345,Cellphone,utilities,99.99%
1346,laundry 70,personal,100.00%
1347,cigarettes 200,personal,50.01%
1348,Haircut $10,personal,99.99%
1349,Vegetables $25,food,99.99%
1350,Engagement rings,personal,90.73%
1351,Coffee,food,54.00%
1352,pillow cases $9.99,miscellaneous,83.43%
1353,Pen $ 0.1,miscellaneous,99.99%
1354,Driver's fee,transportation,68.49%
1355,Lipstick from Amazon,personal,99.99%
1356,soup bowels $6,housing,99.99%
1357,Morning coffe 0.5 usd,food,100.00%
1358,Paid data airtime,utilities,100.00%
1359,Lip Gloss,personal,99.99%
1360,magazine subscription,recreation,99.99%
1361,library fee,recreation,99.99%
1362,Laundry basket $5,miscellaneous,99.99%
1363,McDonald's,food,100.00%
1364,Water bill,utilities,96.86%
1365,toilet paper,housing,99.99%
1366,Instant coffee $30,food,100.00%
1367,Taxi fare,transportation,100.00%
1368,Paid transport to local town,transportation,100.00%
1369,New pouch for phone,nonsense,54.08%
1370,dry cleaning 20,miscellaneous,100.00%
1371,Credit payment,saving,100.00%
1372,Steamer Iron for Clothes,miscellaneous,100.00%
1373,water bill $75,utilities,99.99%
1374,Savings $150,saving,100.00%
1375,Phone bill ,utilities,99.99%
1376,Cookies,food,100.00%
1377,Bread ,food,100.00%
1378,Hair clips,personal,100.00%
1379,phone bill 35,utilities,100.00%
1380,Christmas gifts,recreation,99.99%
1381,Child care,medical,100.00%
1382,Payment for a new kitchen grinder is 35000 naira,housing,100.00%
1383,octane 130,nonsense,100.00%
1384,Gift for my Bestfriend,recreation,99.99%
1385,Yogurt 80,food,100.00%
1386,Electricity ,utilities,99.99%
1387,An iPhone 14,utilities,100.00%
1388,Flowers gor date night,recreation,100.00%
1389,Service crews' bonuses,saving,100.00%
1390,Crayons,personal,100.00%
1391,Facilty Bill,utilities,99.99%
1392,Rosmar Kagayaku Soap 10 pieces,personal,99.99%
1393,Loan repayment ,saving,100.00%
1394,Watermelon,food,100.00%
1395,Petrol for my Bentley,transportation,100.00%
1396,Bike fuel 2500,transportation,100.00%
1397,Payment for meats,food,100.00%
1398,New spectacles,medical,100.00%
1399,Beauty products ,personal,100.00%
1400,Fries from McDonald's,food,100.00%
1401,Jewellery ,personal,99.99%
1402,Frozen pizza,food,100.00%
1403,Bus Ticket,transportation,100.00%
1404, Drinks for saturday party,food,99.99%
1405,Cardigan,personal,98.86%
1406,Door mat $ 5,miscellaneous,100.00%
1407,medical insurance 90,medical,100.00%
1408,ludo bet 32,saving,100.00%
1409,Alcoholic beverages,food,100.00%
1410,taxi to work,transportation,100.00%
1411,bus ticket,transportation,99.99%
1412,Netflix subscription,utilities,100.00%
1413,Makeup remover wipes ,personal,99.99%
1414,Loan repayment,saving,100.00%
1415,Manicure and Pedicure  2300,personal,99.99%
1416,Supermarket,food,100.00%
1417,Credit car bill,transportation,100.00%
1418,Brazilian wax at salon 40,personal,99.99%
1419,Shoes for my wife $100,recreation,100.00%
1420,Wash Machine Maintenance,utilities,100.00%
1421,Eyebrow pencil,personal,99.99%
1422,Organic Baby Wipes,medical,99.99%
1423,New bike 116,recreation,100.00%
1424,Recreation,recreation,99.99%
1425,Van's Shoes,personal,100.00%
1426,Office Table,miscellaneous,66.40%
1427,Medical expenses $150,medical,100.00%
1428,Ball,nonsense,78.07%
1429,fish tank filter $4.50,miscellaneous,99.99%
1430,vehicle insurance 100,transportation,100.00%
1431,Paid security fees,housing,99.99%
1432,Spotify Monthly bill,utilities,100.00%
1433,Gas for car Sept 7th,transportation,100.00%
1434,Wifi bill payment,utilities,100.00%
1435,Furniture shopping ,miscellaneous,99.99%
1436,Vegetable oil,food,100.00%
1437,swimming pool entrance,recreation,100.00%
1438,shoe laces,personal,99.99%
1439,Apple Juice,food,99.99%
1440,Liptint,personal,99.68%
1441,TV subscription ,utilities,97.16%
1442,My son's school fees,utilities,99.99%
1443,Airplane ticket ,recreation,78.08%
1444,Fuel,transportation,100.00%
1445,Government Bills,utilities,99.99%
1446,Cooking gas,utilities,100.00%
1447,clothing 50,personal,99.99%
1448,transport cost to the market,transportation,100.00%
1449,Groceries 400,food,99.99%
1450,Flowers for mums birthday 25,miscellaneous,99.99%
1451,Engagement rings ,personal,68.73%
1452,Hair products ,personal,99.99%
1453,New laptop ,personal,99.99%
1454,Gift for Mom's birthday,miscellaneous,99.99%
1455,Home maintenance,housing,100.00%
1456,Flowers for dad's birthday,recreation,100.00%
1457,Flowers for miss Gifty,recreation,99.99%
1458,new clothing 100,personal,99.99%
1459,Bench Panty Ladies Underwear 12 pcs,personal,99.99%
1460,Internet subscription ,utilities,99.99%
1461,Cellphone plan wife august,utilities,87.10%
1462,Playing video games,recreation,100.00%
1463,flowers,miscellaneous,99.99%
1464,balloons,recreation,99.99%
1465,water bill 50,utilities,86.50%
1466,Grocery shopping 245,food,100.00%
1467,A pack of soda,food,99.99%
1468,groceries from supermarket for 1500,food,100.00%
1469,Car fuel,transportation,100.00%
1470,hard disk 1tb,miscellaneous,99.99%
1471,Water bills,utilities,100.00%
1472,Purchase of new watch 25000,personal,100.00%
1473,Apples,food,99.99%
1474,Beer at pub 5,food,100.00%
1475,Buying clothes,personal,99.99%
1476,Dentist appointment wife,medical,100.00%
1477,Taxi fare,transportation,99.99%
1478,September shopping ,miscellaneous,59.51%
1479,toothbrush,personal,99.99%
1480,Cat treats,food,99.99%
1481,Chocolate Vodka 1 litre,food,99.99%
1482,electricity bill,utilities,99.99%
1483,Credit card payment 1250,saving,100.00%
1484,car refueling,transportation,100.00%
1485,Shoes,personal,99.99%
1486,Taxi fare to restaurant 700,transportation,99.99%
1487,Dry cleaners for work uniforms ,saving,93.80%
1488,Shorts for men,personal,100.00%
1489,Button Mushrooms 200 g,food,100.00%
1490,Internet Bills,utilities,99.99%
1491,Books about musicians,recreation,100.00%
1492,Car toy,recreation,100.00%
1493,Snacks,food,99.99%
1494,Postal stamp ,miscellaneous,86.42%
1495,Eggs 250,food,99.99%
1496,2 Jugs of water,food,99.99%
1497,Transportation expenses 52,transportation,100.00%
1498,Lpg,nonsense,100.00%
1499,Inspirational books and podcasts $100,recreation,100.00%
1500,pencil for 1,recreation,89.49%
1501,Cup cakes 4,food,99.99%
1502,Water supply fee 6000,saving,99.99%
1503,Bus fare back from work $2,transportation,100.00%
1504,TV Subscription ,recreation,100.00%
1505,Cable TV $7,utilities,99.99%
1506,wireless mouse,miscellaneous,99.99%
1507,cat food ,food,99.99%
1508,Custard powder 100 g,food,100.00%
1509,house rent for month 150,housing,100.00%
1510,Shaving cream,personal,99.97%
1511,Donations,nonsense,69.47%
1512,School tuition -$8,miscellaneous,99.90%
1513,School books,nonsense,99.99%
1514,Food Stuff,food,99.89%
1515,bottle of honey for 10,food,99.97%
1516,Psychological therapy,medical,100.00%
1517,Colgate,personal,86.26%
1518,Bought a new charger ,utilities,99.99%
1519,Lingerie ,personal,99.99%
1520,Books for study ,miscellaneous,85.58%
1521,Pay phone bill,utilities,99.99%
1522,Corriander,food,99.99%
1523,Pizza out -$6,food,98.81%
1524,Security fee,saving,100.00%
1525,Slippers for men,personal,99.78%
1526,new backpack,personal,96.81%
1527,backpack,personal,99.63%
1528,Transportation $3,transportation,100.00%
1529,Donation,saving,100.00%
1530,my book publication expense,recreation,100.00%
1531,Silicon ice cubes,food,100.00%
1532,Recharge token(electricity),utilities,99.99%
1533,Retirement Savings,saving,100.00%
1534,Bottled water,food,99.97%
1535,hair oil for 12,personal,99.99%
1536,Christmas Gift,personal,86.32%
1537,loaf of bread for 2,food,100.00%
1538,Weekly allowance for little brother,recreation,99.99%
1539,Bread and Butter for breakfast,food,100.00%
1540,Phone Bill,utilities,100.00%
1541,Phone charger 1500,utilities,99.99%
1542,Phone internet payment,utilities,99.99%
1543,Pharmacy shopping,medical,99.99%
1544,Payment of tithe,nonsense,99.99%
1545,Phone credit and data subscription ,utilities,97.78%
1546,Size 37 flat black shoe 3500,personal,99.99%
1547,monthly savings ksh5000,saving,100.00%
1548,cosmetics 10,personal,99.99%
1549,Hospital bills,medical,100.00%
1550,Bought AirPods ,personal,99.74%
1551,New clothes,personal,86.38%
1552,TV repair,utilities,99.99%
1553,kilo of chicken for 4,food,99.99%
1554,pajama pants,personal,88.66%
1555,2 slices of pizza 3€,food,100.00%
1556,Transport,transportation,100.00%
1557,electricity bill,utilities,99.99%
1558,Instant noodles ,food,99.99%
1559,Bought a new phone,utilities,99.99%
1560,garage cleaning service payment,miscellaneous,99.99%
1561,Gift for my wife $8,nonsense,99.99%
1562,Aliexpress air humidifier buy 13.28,miscellaneous,99.99%
1563,Flower vase $11,miscellaneous,83.20%
1564,Haircut $1,personal,99.57%
1565,nike sneaker 4,personal,99.76%
1566,Menthol pain balm 5000,medical,100.00%
1567,Buttermilk bars,food,99.99%
1568,Shoes 20,personal,98.59%
1569,Beer for football night,food,99.28%
1570,Silken tofu ,food,99.99%
1571,Blue Curtains,housing,99.99%
1572,Strawberries $10.40,food,99.99%
1573,Sheets for the bed 20 ,housing,99.99%
1574,2 pairs socks,personal,99.99%
1575,new upholstery,housing,99.99%
1576,Vehicle Insurance Premium,transportation,100.00%
1577,Bread,food,97.59%
1578,bills and rent,housing,99.99%
1579,Lip products,personal,99.99%
1580,Furniture ,miscellaneous,92.90%
1581,Foot mat $4.5,nonsense,70.92%
1582,Hair shampoo,personal,99.99%
1583,dry clean ,miscellaneous,99.99%
1584,Bought a new phone ,utilities,76.98%
1585,butchery 20,food,99.88%
1586,Garden eggs 3000,food,99.99%
1587,Pick birthday outfit from designer,nonsense,99.99%
1588,Milk in Supermarket 140,food,99.99%
1589,Perfumes,personal,99.99%
1590,Transportation 40$,transportation,100.00%
1591,Shaving powder $3,personal,99.99%
1592,Razor + blade,personal,99.99%
1593,Annual health check up,medical,99.77%
1594,Paid for Dad's 60th birthday,recreation,99.99%
1595,Disney+ subscription ,recreation,99.99%
1596,Phone case,utilities,98.26%
1597,Antiques for decoration ,housing,96.80%
1598,New shorts from the boutique,personal,99.77%
1599,Mobile phone topup 15000,utilities,94.03%
1600,Food 100$,food,99.98%
1601,House rent for the month,housing,100.00%
1602,Buy pumpkin,food,100.00%
1603,Wi-Fi bill ,utilities,99.99%
1604,Phone Charger,utilities,58.16%
1605,Purchased a new oven for baking,housing,99.99%
1606,Creche fees,miscellaneous,99.99%
1607,New dining room set ,housing,100.00%
1608,kfc lunch 22,food,99.99%
1609,grocery shopping ,food,99.99%
1610,3 pairs of shoes,personal,95.77%
1611,furniture installment,housing,99.99%
1612,tea and coffee 50₺,food,99.99%
1613,playing basketball 20,recreation,100.00%
1614,Shirt from Zara 16,personal,99.99%
1615,Shoe mending 2000,personal,99.30%
1616,Blue shirt for husband ,personal,99.99%
1617,Haircut,personal,99.99%
1618,Buying of kitchenwares,food,99.99%
1619,Shopping 55$,saving,100.00%
1620,One scarf for mum,nonsense,73.59%
1621,monthly transportation expenses,transportation,100.00%
1622,Trimmers,personal,98.71%
1623,Salon -$5,personal,99.95%
1624,Book fees,miscellaneous,99.99%
1625,Grocery store,food,99.99%
1626,Razors,personal,99.99%
1627,Yoghurt ,food,100.00%
1628,car maintance,transportation,100.00%
1629,Cable TV subscription,utilities,92.43%
1630,Daily transport (fare),transportation,100.00%
1631,A new dress for me,personal,99.54%
1632,cheese cake for 20,food,100.00%
1633,Internet fees,utilities,99.00%
1634,Clothes store,personal,99.81%
1635,Coffee refil,food,99.99%
1636,grocery- ₹200,food,99.99%
1637,new car rims,transportation,100.00%
1638,Medical aid,medical,100.00%
1639,Breakfast 10$,food,99.99%
1640,Eggs 1000,food,99.99%
1641,Diapers for baby,miscellaneous,99.99%
1642,Replacing Laptop battery ,utilities,100.00%
1643,Thesis Papers,miscellaneous,79.33%
1644,notebook screen repair,utilities,99.51%
1645,Netflix payment,utilities,99.99%
1646,Tithe $4,miscellaneous,82.72%
1647,Toilet Rolls pack of 4,food,99.86%
1648,Kiko lipstick,personal,99.99%
1649,Food,food,99.99%
1650,Carrots,food,99.84%
1651,pair of shorts for 5,personal,99.99%
1652,Fruit,food,99.99%
1653,Book fee,miscellaneous,99.99%
1654,Flu medicine $10,medical,100.00%
1655,Oats 500g $10,food,99.99%
1656,Food 10,food,99.34%
1657,Snacks ,food,99.99%
1658,Mangoes,food,100.00%
1659,Buy some airtime,utilities,98.36%
1660,birthday present for friend,miscellaneous,99.99%
1661,Auto payment,transportation,100.00%
1662,Caution money,saving,100.00%
1663,Pizza,food,99.99%
1664,Pizza,food,99.99%
1665,Maize flour 3400,food,99.99%
1666,Turkey meat 480,food,99.98%
1667,Suit for husband ,personal,99.99%
1668,Children snacks $3,food,99.99%
1669,Bathing soap 100,personal,99.99%
1670,refrigerator compressor changed,housing,99.99%
1671,apartment bills 1500$,housing,100.00%
1672,bus fare $1,transportation,100.00%
1673,Diesel fuel 50€,transportation,100.00%
1674,Sanitary towels,personal,99.99%
1675,Earphones for gaming ,utilities,100.00%
1676,Tithe,miscellaneous,99.10%
1677,Gym equipment ,personal,62.45%
1678,Accounting,nonsense,99.99%
1679,2cups of Sugar,food,99.99%
1680,Cellphone,utilities,99.99%
1681,Car fuel 40,transportation,100.00%
1682,Cat Veterinary bill payment,medical,100.00%
1683,Dry cat food $10,food,99.99%
1684,Washing machine repair,housing,99.99%
1685,clothes,personal,99.73%
1686,New set of pens,miscellaneous,85.93%
1687,Vegetables,food,100.00%
1688,Going out with friends 5,recreation,100.00%
1689,Paid for data,utilities,99.99%
1690,Sunglasses from ebay,personal,99.90%
1691,pasta,food,100.00%
1692,Transport fare 2000,transportation,100.00%
1693,New beddings,housing,100.00%
1694,miscellenous expenses,miscellaneous,99.99%
1695,Table for college dorm,miscellaneous,92.71%
1696,Baby diapers,personal,100.00%
1697,New air conditioners,housing,99.99%
1698,Health insurance,medical,100.00%
1699,Shampoo ,personal,89.97%
1700,Eggs 1 dozen $2,food,99.99%
1701,Pain pills,medical,99.99%
1702,Home Furnishing ,housing,99.99%
1703,Interest Rate Costs,saving,100.00%
1704,Friend's repayment 7000,saving,100.00%
1705,Credit bill - $9,saving,100.00%
1706,Netflix monthly subscription,utilities,99.99%
1707,Garbage -$2,utilities,100.00%
1708,Dinner,food,99.99%
1709,Airport transfer ,transportation,99.99%
1710,pen 15₺ ,miscellaneous,92.37%
1711,Transit Pass,transportation,100.00%
1712,pair of underwear for 5,personal,97.37%
1713,other expenses ksh3500,miscellaneous,72.30%
1714,baby's crèche payment,miscellaneous,99.99%
1715,Book fee,miscellaneous,99.99%
1716,Bags,personal,99.99%
1717,notebook 50₺,miscellaneous,99.99%
1718,Taxi trip to bus station 6,transportation,100.00%
1719,bracelet for a friend's birthday,miscellaneous,99.99%
1720,Bagels,food,99.99%
1721,transportion 100,transportation,100.00%
1722,chiropractor session $150,medical,99.99%
1723,Milk 2000,food,99.99%
1724,coffe 1 packet,food,99.99%
1725,Cable bill 25€,utilities,99.99%
1726,soap-₹50,personal,99.99%
1727,1 kg of chick peas,food,99.95%
1728,Evening drinks,food,99.99%
1729,New dress for my wife,miscellaneous,99.96%
1730,Bus fare,transportation,100.00%
1731,Bought cream ,personal,99.72%
1732,Grooming brush $3,miscellaneous,99.99%
1733,Bed sheets ,housing,100.00%
1734,lunch - $10 (everyday),food,99.99%
1735,1 bucket,nonsense,100.00%
1736,Salad 158,food,99.99%
1737,Baby's food,food,99.90%
1738,Grid notebook ,miscellaneous,99.99%
1739,Home Office Supplies,housing,99.84%
1740,tea bags 1 sachet,food,99.99%
1741,Electricity bill,utilities,99.99%
1742,Kitchen utensils,housing,99.99%
1743,face cleanser,personal,99.99%
1744,Cheese,food,99.82%
1745,Screen guard for phone,utilities,99.99%
1746,Car fuel 10,transportation,100.00%
1747,Phone data subscription $1,utilities,99.99%
1748,air humidifier,housing,99.99%
1749,Vegetables 3000,food,99.97%
1750,new windows for granny's flat,miscellaneous,99.99%
1751,Over the counter paracetamol 2000,medical,100.00%
1752,Cauliflower ,food,99.99%
1753,Medical insurance,medical,99.99%
1754,babysitting a month $400,medical,99.99%
1755,mortgage for the month,nonsense,99.99%
1756,subscribing of netflix,utilities,99.99%
1757,Tomatoes,food,99.98%
1758,Paid for charging ,utilities,100.00%
1759,Tomatoes,food,100.00%
1760,Olive oil,food,100.00%
1761,Library card renewal ,miscellaneous,99.48%
1762,movie ticket purchase for next month,recreation,99.99%
1763,Phone Bill Php1800,utilities,99.99%
1764,Clothes shopping ,personal,99.99%
1765,AAA batteries 500,miscellaneous,99.99%
1766,Payment of bimonthly electricity bill,utilities,99.99%
1767,monthly gas bill,utilities,99.99%
1768,Breakfast with friends on Sunday ,food,99.99%
1769,Data subscription ,utilities,100.00%
1770,New laptop,miscellaneous,77.16%
1771,Blank canvas,nonsense,99.99%
1772,Rice,food,99.99%
1773,unexpected expenses 20,miscellaneous,99.95%
1774,mobile airtime top up,utilities,99.73%
1775,Health insurance,medical,100.00%
1776,Uber,transportation,99.99%
1777,disinfectant spray,miscellaneous,99.99%
1778,Two new throw pillows for the Couch,housing,100.00%
1779,House rent $500,housing,99.99%
1780,savings in july,saving,100.00%
1781,Movie tickets,recreation,100.00%
1782,Washing machine 34900,housing,62.63%
1783,kids fee payment,miscellaneous,96.15%
1784,Buying drinks,food,92.59%
1785,Utility Bills,utilities,100.00%
1786,Pay monthly rent,housing,99.99%
1787,snacks and breverages,food,99.99%
1788,Milk,food,99.99%
1789,Window repair,housing,100.00%
1790,serving plates,miscellaneous,99.99%
1791,One white bathrobe,personal,100.00%
1792,Electricity bill,utilities,100.00%
1793,Dog food $40,food,93.60%
1794,Hair salon expense,personal,99.99%
1795,Spa day ,personal,99.99%
1796,Internet Bill,utilities,99.97%
1797,Phone call charges,utilities,100.00%
1798,detergent-₹100,miscellaneous,39.30%
1799,Purchase wifi,utilities,99.97%
1800,Apple bill,utilities,99.99%
1801,cake molds,food,99.99%
1802,School bus fare ,transportation,100.00%
1803,transportation expense for september,transportation,100.00%
1804,lipstick $20,personal,99.99%
1805,Internet bill,utilities,100.00%
1806,new diary for 2,miscellaneous,98.86%
1807,Doctor,medical,100.00%
1808,Hairdresser cost cut and color 70€,personal,99.99%
1809,Eggs,food,99.99%
1810,golden ring for 500,miscellaneous,99.99%
1811,Take my dog to the vet,medical,100.00%
1812,Restaurants ,recreation,99.99%
1813,Geometrick set,miscellaneous,99.99%
1814,taylor's bill,saving,100.00%
1815,maize grains 2kg,food,99.96%
1816,A Baptism Suit for the Baby,personal,88.74%
1817,Buy data,utilities,99.91%
1818,Energy drinks R80,food,99.99%
1819,New couch for living room purchase bill,miscellaneous,70.44%
1820,Car fuel 15,transportation,100.00%
1821,Grocery shopping - $130,food,99.98%
1822,Monthly student loan ,saving,100.00%
1823,Netflix,recreation,99.99%
1824,Birthday gift for grandpa,recreation,97.42%
1825,Transportation 3,transportation,100.00%
1826,Ice cream at Thancos 5,food,99.99%
1827,Gas bill- $7,utilities,99.99%
1828,Braces removal,medical,100.00%
1829,Purchased a new set of cutlery,miscellaneous,99.70%
1830,Birthday present for friend 10,recreation,94.89%
1831,netflix subscription,utilities,99.99%
1832,Carrots,food,99.99%
1833,Cinema tickets,recreation,99.99%
1834,purshased a new umbrella,personal,99.72%
1835,Supper 300ksh,food,100.00%
1836,Gift for friends birthday ,miscellaneous,58.96%
1837,beans,food,99.99%
1838,payment for cooking gas supplied,utilities,99.99%
1839,Grocery store,food,99.99%
1840,sausages $4,food,99.99%
1841,Star+ Subscription,utilities,97.54%
1842,Feminine products ,personal,99.61%
1843,Clothes ,personal,94.36%
1844,hair comb,personal,99.99%
1845,Cocktail dress,personal,99.99%
1846,hp wireless mouse from jumia,miscellaneous,94.52%
1847,raincoat jacket 2,personal,99.99%
1848,Library subscription ,recreation,90.34%
1849,Entry free at Karura forest,recreation,100.00%
1850,Books,miscellaneous,82.14%
1851,Gas,transportation,100.00%
1852,Flower,miscellaneous,99.57%
1853,water pump fix $60,housing,99.99%
1854,Gardener's wage 4000,housing,100.00%
1855,3 raw fish,food,99.98%
1856,Entertainment $6,recreation,95.30%
1857,Medicine for cold 2500,medical,100.00%
1858,bought a new raincoat,miscellaneous,81.14%
1859,Ice cream,food,100.00%
1860,Mobile subscription ,utilities,100.00%
1861,Travel Related Costs,transportation,100.00%
1862,video game 80,recreation,99.99%
1863,Face wipes,medical,99.99%
1864,Tights 700,personal,99.99%
1865,Milk,food,99.99%
1866,New DVD player 7000,recreation,99.99%
1867,Cucumber,food,99.99%
1868,Sanitary pads from the store 5,personal,99.99%
1869,Que fryer for my mom 85 ,miscellaneous,99.99%
1870, Gloves 1 pair,personal,99.99%
1871,Curtains for bedroom,miscellaneous,70.72%
1872,meat 90₺,food,99.99%
1873,grocery 30,food,99.99%
1874,Repair car A.C,transportation,99.99%
1875,Gift for my friends wedding ,recreation,89.77%
1876,Credit card payment 100,saving,99.99%
1877,credit card due bill $650,utilities,99.99%
1878,Date night ,recreation,100.00%
1879,Bought a comic story for little brother,recreation,99.99%
1880,New home,housing,100.00%
1881,Dinner at Novotel 62,food,99.99%
1882,Pants,personal,100.00%
1883,Internet bills,utilities,99.99%
1884,Fruits purchase $4,food,100.00%
1885,had lunch at restaurant,food,99.99%
1886,tuition,personal,99.99%
1887,Rice $4.3,food,99.99%
1888,Coin for online game,recreation,92.30%
1889,Strawberry juice,food,99.99%
1890,Milk for breakfast ,food,99.87%
1891,Car maintenance $10,transportation,100.00%
1892,Accessories ,miscellaneous,69.84%
1893,Laptop ,utilities,99.99%
1894,Birthday Gift ,miscellaneous,90.74%
1895,₹4500 spent at clothing,personal,99.99%
1896,Footwear,personal,99.99%
1897,Gifts for Best friend's birthday,recreation,89.04%
1898,Spices for stew,food,99.99%
1899,Snail feed 4000,food,99.99%
1900,Bread in minimarket 72,food,99.97%
1901,pillow cases,miscellaneous,73.30%
1902,Health insurance payment ,medical,100.00%
1903,A pack of Oat,food,99.99%
1904,Oil for scalp ,personal,100.00%
1905,Detergent,food,99.99%
1906,Buy a new refrigerator,housing,89.95%
1907,Gaming chair purchase 12000,recreation,99.99%
1908,Personal Loan Payment,saving,100.00%
1909,Grocery shopping ,food,99.99%
1910,Health insurance,medical,100.00%
1911,Refuel my car,transportation,100.00%
1912,Electricity payment,utilities,99.99%
1913,Savings contributions,saving,100.00%
1914,Shaving cream 2€,personal,99.77%
1915,2 beer cans 2€,food,99.99%
1916,Swimming ,recreation,99.99%
1917,500g of strawberries 5€,food,99.99%
1918,Paper Towels,miscellaneous,99.98%
1919,cooking pan,miscellaneous,99.14%
1920,passport renewal in september,miscellaneous,99.99%
1921,Nutritional yeast,food,99.99%
1922,food,food,99.99%
1923,Bought a new jacket from Imenti,personal,93.23%
1924,drawing book for 7,recreation,100.00%
1925,forest mushrooms,nonsense,93.73%
1926,water bill-₹300,utilities,100.00%
1927,loan payment,saving,100.00%
1928,Dining Experiences,food,99.99%
1929,Food,food,99.98%
1930,loan repayment ,saving,99.99%
1931,Laundry $3,personal,99.99%
1932,plane ticket,recreation,99.99%
1933,Coasters,nonsense,100.00%
1934,Fitment of tires,transportation,99.99%
1935,Cranberry Breezers,food,99.99%
1936,AA batteries,miscellaneous,100.00%
1937,Poster framing,miscellaneous,99.35%
1938,Dry shampoo for dogs,food,95.09%
1939,Monthly toiletries shopping ,food,99.99%
1940,Car service ,transportation,100.00%
1941,Tote bag,personal,98.28%
1942,Groceries ,food,99.99%
1943,Payment of money for monthly magazine,miscellaneous,99.99%
1944,mani-pedi $45,personal,99.99%
1945,Mortgage payment,saving,100.00%
1946,Water bill payment,utilities,99.99%
1947,Pizza from Dominos $6,food,100.00%
1948,Prepaid Phone,utilities,99.99%
1949,Internet Bill,utilities,99.99%
1950,Sony headphones 2899sek,miscellaneous,90.48%
1951,health insurance for family,medical,100.00%
1952,Paid for sex,recreation,100.00%
1953,Refrigerator repair,housing,100.00%
1954,Student loans ,saving,100.00%
1955,Medications $2,medical,100.00%
1956,My Car Fuel 80,transportation,100.00%
1957,car payment 350,transportation,100.00%
1958,Car insurance payment,transportation,99.99%
1959,Tomatoes,food,100.00%
1960,Charcoal Ugx10000,food,99.99%
1961,Baking flour,food,99.94%
1962,Rent,housing,100.00%
1963,Organic perfume,personal,99.99%
1964,Food,food,99.96%
1965,electricity 8,utilities,100.00%
1966,Oat milk ,food,99.99%
1967,Snacks $4,food,99.99%
1968,Children Exercise Books,miscellaneous,55.12%
1969,cup of coffee,food,100.00%
1970,Fuel for Kia Seltos 40,transportation,100.00%
1971,Childcare,medical,100.00%
1972,Payment of music class fees,recreation,99.99%
1973,Netflix account monthly bill 10,utilities,99.99%
1974,Kids school fees ,miscellaneous,52.81%
1975,Toiletries $15,personal,99.99%
1976,Hairbrush R75,personal,97.75%
1977,Recipes ,food,99.99%
1978,School fundraising,nonsense,99.98%
1979,pair of sunglasses for 50,personal,99.99%
1980,Light bulbs for the bedroom,housing,99.99%
1981,Cushions,housing,99.76%
1982,HOA dues,nonsense,100.00%
1983,Eggs 10,food,99.99%
1984,Toiletries,miscellaneous,74.89%
1985,Flour,food,99.99%
1986,monthly YouTube subscriptions,utilities,99.63%
1987,Tulle skirt,personal,99.99%
1988,Toiletries $3,food,99.99%
1989,Stilettos for women,personal,99.99%
1990,Electricity bill,utilities,100.00%
1991,wifi 15,utilities,99.66%
1992,New earphones,miscellaneous,99.99%
1993,Plumber charges,housing,99.99%
1994,pair of tweezers for 4,personal,99.99%
1995,Tower fan,housing,99.99%
1996,Uber,transportation,100.00%
1997,Clothing,personal,99.99%
1998,Monthly rent,housing,99.99%
1999,Light bulb for kitchen,housing,99.99%
2000,Paid fare for the bus ride,transportation,100.00%
2001,Insurance Premium,saving,100.00%
2002,T-shirt 20$,personal,99.99%
2003,Sunscreen,medical,99.99%
2004,Weekly transportation ,transportation,100.00%
2005,internet,utilities,99.99%
2006,ram ddr5 $120,nonsense,100.00%
2007,Wine to celebrate hubby's promotion ,recreation,99.99%
2008,Pet Food,food,99.99%
2009,Water bills payment,utilities,99.99%
2010,Water bill,utilities,100.00%
2011,Television purchase,recreation,99.99%
2012,coffee,food,99.99%
2013,A tray of Eggs for the month,food,99.99%
2014,Water 2bags $1.5,food,99.58%
2015,Car insurance ,transportation,99.14%
2016,Daily groceries 20€,food,100.00%
2017,Hospital bill $20,medical,100.00%
2018,usb dongle $10,utilities,99.99%
2019,Pet food and treats 50€,miscellaneous,99.99%
2020,Fresh aloe vera,medical,100.00%
2021,stationery tools,miscellaneous,99.99%
2022,A new baby bag,personal,99.99%
2023,Buy vegetables for  a week,food,100.00%
2024,Burger 1,food,99.99%
2025,Plumbing,housing,99.99%
2026,Gas fee 30,utilities,99.99%
